"yr","fuel.general","fuel.price"
1991,"coal",2.12283853434406
1992,"coal",2.02538711940309
1993,"coal",1.94045221905009
1994,"coal",1.85887917539187
1995,"coal",1.7711337238827
1996,"coal",1.70245687463329
1997,"coal",1.64784081221918
1998,"coal",1.60448482811752
1999,"coal",1.54239281543333
2000,"coal",1.48334539326049
2001,"coal",1.48648145881777
2002,"coal",1.45212100543878
2003,"coal",1.47049032325014
2004,"coal",1.52200037031426
2005,"coal",1.68362584765917
2006,"coal",1.80417702493896
2007,"coal",1.85101529531124
2008,"coal",2.09063347766619
2009,"coal",2.24702301755754
2010,"coal",2.27
2011,"coal",2.35144000058079
2012,"coal",2.33770836303499
2013,"coal",2.25326932295698
2014,"coal",2.22287838238301
1991,"gas",3.15858421868885
1992,"gas",3.3393068087609
1993,"gas",3.58668424604205
1994,"gas",3.05926240673349
1995,"gas",2.66610721409961
1996,"gas",3.48409778994719
1997,"gas",3.58113436356295
1998,"gas",3.05493911273576
1999,"gas",3.24913896365873
2000,"gas",5.31532099251674
2001,"gas",5.42626158544048
2002,"gas",4.38016827870057
2003,"gas",6.52384198965738
2004,"gas",6.98530020703934
2005,"gas",9.15540330230346
2006,"gas",7.85724432162765
2007,"gas",7.76802486290726
2008,"gas",9.40275154345477
2009,"gas",5.56694891737229
2010,"gas",5.43
2011,"gas",4.89883333454332
2012,"gas",3.59795443528842
2013,"gas",4.25091565549447
2014,"gas",4.80848587318835
1991,"petroleum",3.73807365964663
1992,"petroleum",3.65918027025303
1993,"petroleum",3.40875108227355
1994,"petroleum",3.4132039766605
1995,"petroleum",3.60005102145809
1996,"petroleum",4.17035947584588
1997,"petroleum",3.7368358576309
1998,"petroleum",2.74687802573719
1999,"petroleum",3.19856870741502
2000,"petroleum",5.5007391666743
2001,"petroleum",4.73740432403712
2002,"petroleum",4.4515840658533
2003,"petroleum",5.46182120064339
2004,"petroleum",5.45194162500631
2005,"petroleum",7.88993289393219
2006,"petroleum",8.89277788032043
2007,"petroleum",9.60864119588529
2008,"petroleum",16.0315893994695
2009,"petroleum",10.567081217703
2010,"petroleum",13.94
2011,"petroleum",19.8892633382459
2012,"petroleum",21.2702600439109
2013,"petroleum",19.9669958072112
2014,"petroleum",18.5084852759087
1994,"nuclear",14.2674121210889
1995,"nuclear",15.1177954428531
1996,"nuclear",18.6346442401721
1997,"nuclear",16.7119603632937
1998,"nuclear",15.5827566506774
1999,"nuclear",14.7033020028603
2000,"nuclear",13.6467776179965
2001,"nuclear",12.2664933390247
2002,"nuclear",12.3311259150375
2003,"nuclear",12.6158733288365
2004,"nuclear",14.3227049773603
2005,"nuclear",15.8018739688795
2006,"nuclear",19.8672984817243
2007,"nuclear",34.0877985282597
2008,"nuclear",46.789397051378
2009,"nuclear",46.4182322455806
2010,"nuclear",49.29
2011,"nuclear",54.514217346798
2012,"nuclear",52.9014744375695
2013,"nuclear",49.2216269329972
2014,"nuclear",42.9322452430124
2015,"nuclear",40.6026366634018
