Technology,overnightcategory
Adv Combined Cycle,
Adv Combined Cycle with CCS,
Adv Combustion Turbine,
Adv Nuclear,nuclear
Biomass,biomass
Coal with 30% carbon sequestration (CCS),
Conv Combined Cycle ,conventional combined cycle
Conv Combustion Turbine,conventional combustion turbine
Conv Hydropower,hydro
Conv Pulverized Coal,coal
Distributed Generation - Base,
Distributed Generation - Peak,
Fuel Cells,
Gas/Oil Steam Turbine,steam turbine
Geothermal,geothermal
IGCC,igcc
IGCC with Carbon Sequestration,
MSW,
Photovoltaic,photovoltaic
Pulverized Coal,coal
Pulverized Coal (95% Scrubber),coal
Pulverized Coal with Carbon sequestion,
Scrubbed Coal New,coal
Solar Thermal,solar thermal
Wind,wind
Wind Offshore,
