"","prime_mover","prime_mover_text"
"1","AB","Atmospheric Fluidized Bed"
"2","BA","Battery energy storage"
"3","BT","turbines used in a binary cycle"
"4","CA","Combined Cycle Steam Turbine with Supplemental Firing"
"5","CC","Combine Cycle - Total Unit"
"6","CE","Compressed Air Energy Storage"
"7","CG","not defined"
"8","CH","Steam Turbine, Common Header"
"9","CP","Concentrated solar power energy storage"
"10","CS","Combined Cycle Single Shaft (gas turbine and steam turbine share a single generator)"
"11","CT","Combined Cycle Combustion Turbine Part"
"12","CW","Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)"
"13","FC","Fuel Cell (electrochemical)"
"14","FW","Flywheel energy storage"
"15","GE","Steam Turbine (geothermal)"
"16","GT","Combustion (gas) Turbine"
"17","HC","Hydraulic Turbine (conventional)"
"18","HL","Hydraulic Turbine (pipeline)"
"19","HR","Hydraulic Turbine (reversible)"
"20","HY","Hydraulic Turbine (conventional)"
"21","IC","Internal Combustion"
"22","IG","Integrated Coal Gasification Combined Cycle"
"23","JE","Jet Engine"
"24","NB","Steam Turbine (Boiling Water Nuclear Reactor)"
"25","NG","Steam Turbine (Graphite Nuclear Reactor)"
"26","NH","Steam Turbine (High-Temperature Gas-Cooled Nuclear Reactor)"
"27","NP","Steam Turbine (Pressurized Water Nuclear Reactor)"
"28","OC","Ocean Thermal Turbine"
"29","PB","Pressurized Fluidized Bed Combustion"
"30","PS","Hydraulic Turbine Reversible (pumped storage)"
"31","PV","Photovoltaic"
"32","SP","Photovoltaic"
"33","SS","Steam Turbine (Solar)"
"34","ST","Steam Turbine (Boiler)"
"35","VR","Various Types"
"36","WT","Wind Turbine"
"37","OT","Other (Explained in Notes)"
"38","NA","Unknown at this Time"
