fuel.general,primemover,fuel
coal,AB,BIT
coal,AB,LIG
coal,AB,SUB
coal,AB,WC
biomass,AB,WD
other,BA,MWH
geothermal,BT,GEO
other,BT,WH
coal,CA,BIT
petroleum,CA,DFO
petroleum,CA,FO2
petroleum,CA,FO6
petroleum,CA,JF
gas,CA,LFG
gas,CA,NG
gas,CA,OBG
gas,CA,OG
other,CA,OTH
other,CA,PUR
petroleum,CA,RFO
gas,CA,SG
gas,CA,SGC
gas,CA,SGP
biomass,CA,WDS
other,CA,WH
petroleum,CA,WO
coal,CC,BIT
gas,CC,NG
gas,CE,NG
gas,CG,NG
coal,CH,ANT
coal,CH,BIT
other,CH,MF
gas,CH,NG
coal,CH,SUB
coal,CH,WC
biomass,CH,WD
solar,CP,SUN
petroleum,CS,DFO
gas,CS,NG
coal,CT,BIT
petroleum,CT,DFO
petroleum,CT,FO2
petroleum,CT,JF
gas,CT,LFG
gas,CT,NG
gas,CT,OBG
gas,CT,OG
petroleum,CT,RFO
gas,CT,SG
gas,CT,SGC
gas,CT,SGP
other,CT,WH
petroleum,CT,WO
coal,CW,BIT
petroleum,CW,FO2
gas,CW,NG
other,CW,WH
gas,FC,LFG
gas,FC,NG
gas,FC,OBG
other,FW,MWH
geothermal,GE,GST
petroleum,GT,DFO
petroleum,GT,FO1
petroleum,GT,FO2
petroleum,GT,FO4
petroleum,GT,FO6
petroleum,GT,JF
petroleum,GT,KER
gas,GT,LFG
gas,GT,LPG
gas,GT,NG
gas,GT,OBG
petroleum,GT,OBL
gas,GT,OG
other,GT,OO
other,GT,OTH
coal,GT,PC
petroleum,GT,PG
petroleum,GT,RFO
gas,GT,RG
other,GT,WH
petroleum,GT,WO
water,HL,WAT
water,HR,WAT
water,HY,WAT
petroleum,IC,DFO
petroleum,IC,FO1
petroleum,IC,FO2
petroleum,IC,FO4
petroleum,IC,FO5
petroleum,IC,FO6
petroleum,IC,JF
gas,IC,LFG
MSW,IC,MSW
gas,IC,MTE
gas,IC,NG
gas,IC,OBG
petroleum,IC,OBL
gas,IC,OG
other,IC,OT
other,IC,OTH
biomass,IC,REF
petroleum,IC,RFO
biomass,IC,SLW
petroleum,IC,WO
coal,IG,BIT
gas,IG,SNG
petroleum,JE,FO1
petroleum,JE,FO2
petroleum,JE,JF
petroleum,JE,KER
gas,JE,NG
nuclear,NB,UR
nuclear,NP,UR
gas,OT,BFG
geothermal,OT,GEO
petroleum,OT,JF
petroleum,OT,KER
gas,OT,LFG
gas,OT,NG
gas,OT,OG
other,OT,OT
other,OT,OTH
coal,OT,PC
biomass,OT,REF
coal,OT,SUB
solar,OT,SUN
biomass,OT,WDS
other,OT,WH
water,PS,WAT
solar,PV,SUN
solar,SP,SUN
biomass,ST,AB
coal,ST,ANT
gas,ST,BFG
coal,ST,BIT
biomass,ST,BLQ
petroleum,ST,DFO
petroleum,ST,FO1
petroleum,ST,FO2
petroleum,ST,FO4
petroleum,ST,FO6
geothermal,ST,GEO
gas,ST,LFG
coal,ST,LIG
gas,ST,LPG
other,ST,MF
MSW,ST,MSW
gas,ST,NG
nuclear,ST,NUC
gas,ST,OBG
biomass,ST,OBS
gas,ST,OG
other,ST,OTH
coal,ST,PC
other,ST,PUR
coal,ST,RC
biomass,ST,REF
petroleum,ST,RFO
coal,ST,SC
biomass,ST,SLW
gas,ST,SNG
coal,ST,SUB
solar,ST,SUN
other,ST,TDF
coal,ST,WC
biomass,ST,WD
biomass,ST,WDL
biomass,ST,WDS
other,ST,WH
petroleum,ST,WO
wind,WS,WND
wind,WT,WND
