overnight_c,primemover,fuel
coal,AB,LIG
coal,AB,SUB
coal,AB,WC
biomass,AB,WD
.,BA,MWH
geothermal,BT,GEO
.,BT,WH
coal,CA,BIT
CC,CA,DFO
CC,CA,FO2
CC,CA,FO6
CC,CA,JF
CC,CA,LFG
CC,CA,NG
CC,CA,OBG
CC,CA,OG
.,CA,OTH
.,CA,PUR
CC,CA,RFO
CC,CA,SG
CC,CA,SGC
CC,CA,SGP
biomass,CA,WDS
.,CA,WH
CC,CA,WO
coal,CC,BIT
CC,CC,NG
OTH,CE,NG
OTH,CG,NG
coal,CH,ANT
coal,CH,BIT
.,CH,MF
ST,CH,NG
coal,CH,SUB
coal,CH,WC
biomass,CH,WD
solar_thermal,CP,SUN
CT,CS,DFO
CT,CS,NG
coal,CT,BIT
CC,CT,DFO
CC,CT,FO2
CC,CT,JF
CC,CT,LFG
CC,CT,NG
CC,CT,OBG
CC,CT,OG
CC,CT,RFO
CC,CT,SG
CC,CT,SGC
CC,CT,SGP
.,CT,WH
CC,CT,WO
coal,CW,BIT
CC,CW,FO2
CC,CW,NG
.,CW,WH
FC,FC,LFG
FC,FC,NG
FC,FC,OBG
.,FW,MWH
geothermal,GE,GST
CT,GT,DFO
CT,GT,FO1
CT,GT,FO2
CT,GT,FO4
CT,GT,FO6
CT,GT,JF
CT,GT,KER
CT,GT,LFG
CT,GT,LPG
CT,GT,NG
CT,GT,OBG
CT,GT,OBL
CT,GT,OG
.,GT,OO
.,GT,OTH
coal,GT,PC
CT,GT,PG
CT,GT,RFO
CT,GT,RG
.,GT,WH
CT,GT,WO
hydro,HL,WAT
hydro,HR,WAT
hydro,HY,WAT
CT,IC,DFO
CT,IC,FO1
CT,IC,FO2
CT,IC,FO4
CT,IC,FO5
CT,IC,FO6
CT,IC,JF
CT,IC,LFG
MSW,IC,MSW
CT,IC,MTE
CT,IC,NG
CT,IC,OBG
CT,IC,OBL
CT,IC,OG
.,IC,OT
.,IC,OTH
biomass,IC,REF
CT,IC,RFO
biomass,IC,SLW
CT,IC,WO
IGCC,IG,BIT
IGCC,IG,SNG
CT,JE,FO1
CT,JE,FO2
CT,JE,JF
CT,JE,KER
CT,JE,NG
nuclear,NB,UR
nuclear,NP,UR
OTH,OT,BFG
geothermal,OT,GEO
OTH,OT,JF
OTH,OT,KER
OTH,OT,LFG
OTH,OT,NG
OTH,OT,OG
.,OT,OT
.,OT,OTH
coal,OT,PC
biomass,OT,REF
coal,OT,SUB
solar_thermal,OT,SUN
biomass,OT,WDS
.,OT,WH
hydro,PS,WAT
PV,PV,SUN
PV,SP,SUN
biomass,ST,AB
coal,ST,ANT
ST,ST,BFG
coal,ST,BIT
biomass,ST,BLQ
ST,ST,DFO
ST,ST,FO1
ST,ST,FO2
ST,ST,FO4
ST,ST,FO6
geothermal,ST,GEO
ST,ST,LFG
coal,ST,LIG
ST,ST,LPG
.,ST,MF
MSW,ST,MSW
ST,ST,NG
nuclear,ST,NUC
ST,ST,OBG
biomass,ST,OBS
ST,ST,OG
.,ST,OTH
coal,ST,PC
.,ST,PUR
coal,ST,RC
biomass,ST,REF
ST,ST,RFO
coal,ST,SC
biomass,ST,SLW
ST,ST,SNG
coal,ST,SUB
solar_thermal,ST,SUN
.,ST,TDF
coal,ST,WC
biomass,ST,WD
biomass,ST,WDL
biomass,ST,WDS
.,ST,WH
ST,ST,WO
wind,WS,WND
wind,WT,WND
coal,AB,BIT
