overnight_d,primemover,fuel
CT,AB,BIT
CT,AB,LIG
CT,AB,SUB
CT,AB,WC
conventional,AB,WD
.,BA,MWH
binary,BT,GEO
.,BT,WH
CC,CA,BIT
CC,CA,DFO
CC,CA,FO2
CC,CA,FO6
CC,CA,JF
CC,CA,LFG
CC,CA,NG
CC,CA,OBG
CC,CA,OG
.,CA,OTH
.,CA,PUR
CC,CA,RFO
CC,CA,SG
CC,CA,SGC
CC,CA,SGP
conventional,CA,WDS
.,CA,WH
CC,CA,WO
CC,CC,BIT
CC,CC,NG
storage,CE,NG
OTH,CG,NG
ST,CH,ANT
ST,CH,BIT
.,CH,MF
ST,CH,NG
ST,CH,SUB
ST,CH,WC
conventional,CH,WD
solar_thermal,CP,SUN
CT,CS,DFO
CT,CS,NG
CC,CT,BIT
CC,CT,DFO
CC,CT,FO2
CC,CT,JF
CC,CT,LFG
CC,CT,NG
CC,CT,OBG
CC,CT,OG
CC,CT,RFO
CC,CT,SG
CC,CT,SGC
CC,CT,SGP
.,CT,WH
CC,CT,WO
CC,CW,BIT
CC,CW,FO2
CC,CW,NG
.,CW,WH
storage,FC,LFG
storage,FC,NG
storage,FC,OBG
.,FW,MWH
ST,GE,GST
CT,GT,DFO
CT,GT,FO1
CT,GT,FO2
CT,GT,FO4
CT,GT,FO6
CT,GT,JF
CT,GT,KER
CT,GT,LFG
CT,GT,LPG
CT,GT,NG
CT,GT,OBG
CT,GT,OBL
CT,GT,OG
.,GT,OO
.,GT,OTH
CT,GT,PC
CT,GT,PG
CT,GT,RFO
CT,GT,RG
.,GT,WH
CT,GT,WO
hydro,HL,WAT
hydro,HR,WAT
hydro,HY,WAT
CT,IC,DFO
CT,IC,FO1
CT,IC,FO2
CT,IC,FO4
CT,IC,FO5
CT,IC,FO6
CT,IC,JF
CT,IC,LFG
MSW,IC,MSW
CT,IC,MTE
CT,IC,NG
CT,IC,OBG
CT,IC,OBL
CT,IC,OG
.,IC,OT
.,IC,OTH
conventional,IC,REF
CT,IC,RFO
conventional,IC,SLW
CT,IC,WO
IGCC,IG,BIT
IGCC,IG,SNG
CT,JE,FO1
CT,JE,FO2
CT,JE,JF
CT,JE,KER
CT,JE,NG
ST,NB,UR
ST,NP,UR
OTH,OT,BFG
OTH,OT,GEO
OTH,OT,JF
OTH,OT,KER
OTH,OT,LFG
OTH,OT,NG
OTH,OT,OG
.,OT,OT
.,OT,OTH
OTH,OT,PC
conventional,OT,REF
OTH,OT,SUB
solar_thermal,OT,SUN
conventional,OT,WDS
.,OT,WH
hydro,PS,WAT
PV,PV,SUN
PV,SP,SUN
conventional,ST,AB
ST,ST,ANT
ST,ST,BFG
ST,ST,BIT
conventional,ST,BLQ
ST,ST,DFO
ST,ST,FO1
ST,ST,FO2
ST,ST,FO4
ST,ST,FO6
ST,ST,GEO
ST,ST,LFG
ST,ST,LIG
ST,ST,LPG
.,ST,MF
MSW,ST,MSW
ST,ST,NG
ST,ST,NUC
ST,ST,OBG
conventional,ST,OBS
ST,ST,OG
.,ST,OTH
ST,ST,PC
.,ST,PUR
ST,ST,RC
conventional,ST,REF
ST,ST,RFO
ST,ST,SC
conventional,ST,SLW
ST,ST,SNG
ST,ST,SUB
solar_thermal,ST,SUN
.,ST,TDF
ST,ST,WC
conventional,ST,WD
conventional,ST,WDL
conventional,ST,WDS
.,ST,WH
ST,ST,WO
wind,WS,WND
wind,WT,WND
