"subsector.name","technology"
"biomass","biomass (conv)"
"biomass","biomass (IGCC)"
"coal","coal (conv pul)"
"coal","coal (IGCC)"
"gas","gas (CC)"
"gas","gas (steam/CT)"
"geothermal","geothermal"
"nuclear","Gen_II_LWR"
"nuclear","Gen_III"
"refined liquids","refined liquids (CC)"
"refined liquids","refined liquids (steam/CT)"
"biomass","biomass (conv CCS)"
"biomass","biomass (IGCC CCS)"
"coal","coal (conv pul CCS)"
"coal","coal (IGCC CCS)"
"gas","gas (CC CCS)"
"refined liquids","refined liquids (CC CCS)"
"solar","CSP_storage"
"solar","PV_storage"
"wind","wind_storage"
